Object Tracking Data File Mon, Sep 15, 2025 7:37 PM
X (pixels)  	Y (pixels)  
57.60	225.90
56.16	222.92
56.31	226.85
63.24	231.26
62.31	235.34
62.10	235.63
62.45	236.09
59.67	239.46
63.73	239.32
64.44	241.72
65.27	244.27
65.83	239.98
74.00	238.60
72.45	239.25
75.04	240.55
76.57	240.19
78.14	237.55
74.51	235.50
70.87	230.30
71.60	229.34
74.59	226.16
75.29	229.59
71.74	227.72
76.07	231.08
83.49	232.26
91.64	233.52
91.99	236.81
86.54	239.28
86.98	241.92
83.70	244.56
76.69	241.50
81.55	244.50
84.23	238.90
82.28	237.05
80.99	233.13
85.38	229.97
83.89	229.17
79.24	226.57
76.96	228.07
73.76	229.24
77.30	229.45
79.34	224.18
80.67	219.24
81.17	212.25
85.71	208.69
83.51	210.33
81.80	213.05
82.59	215.98
83.00	218.56
83.36	221.13
82.55	219.39
84.08	219.19
82.58	217.29
81.16	214.43
79.06	210.46
74.96	213.07
69.02	209.42
66.55	204.95
63.07	205.50
59.02	205.65
57.73	206.97
59.99	203.28
63.36	205.43
59.68	203.90
58.70	202.43
62.95	196.43
62.94	191.72
54.33	196.96
51.25	202.91
56.80	203.93
57.08	205.09
57.08	211.51
56.17	209.54
48.23	206.52
47.88	204.86
51.16	211.90
49.99	208.99
51.42	210.38
50.40	208.21
49.11	206.88
45.79	210.79
50.42	209.56
57.26	206.88
63.57	204.01
60.61	199.59
57.23	197.24
56.47	194.88
58.23	192.07
60.08	193.99
61.56	192.87
62.12	196.58
64.45	194.16
62.80	192.05
67.19	194.03
62.46	200.30
65.12	199.33
62.72	200.72
64.93	206.56
68.51	204.42
73.58	203.55
72.79	211.86
67.80	212.53
73.01	216.87
72.93	222.27
79.76	227.05
79.22	227.92
82.18	228.54
79.42	231.98
78.97	235.87
77.47	241.78
72.11	243.21
72.49	244.46
71.34	250.81
71.82	247.94
73.78	247.72
75.82	247.43
73.68	248.99
73.97	255.76
75.14	256.24
79.70	251.27
