Polarization of Light 'theta' Data File Mon, Nov 17, 2025 6:46 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	3.89633
0.00000	3.90180
0.00000	3.90390
0.00000	3.90438
0.00436	3.89826
0.01745	3.88972
0.02618	3.88505
0.03491	3.88328
0.04800	3.85556
0.06545	3.83269
0.07854	3.82447
0.09163	3.81351
0.10908	3.78016
0.13526	3.73586
0.16581	3.68768
0.20508	3.60841
0.23998	3.53221
0.27053	3.46003
0.29234	3.40009
0.30980	3.35611
0.32725	3.30487
0.34907	3.24784
0.37088	3.17308
0.40143	3.09075
0.42761	3.00230
0.46251	2.89419
0.50615	2.73952
0.52360	2.66944
0.54105	2.61982
0.56723	2.52734
0.58905	2.44372
0.60650	2.37396
0.61959	2.32401
0.63705	2.25425
0.65886	2.16967
0.67632	2.10200
0.69813	2.02692
0.72867	1.91398
0.75049	1.83375
0.77231	1.74642
0.79849	1.65733
0.82467	1.54858
0.85957	1.41630
0.88575	1.32447
0.90321	1.25455
0.92502	1.18237
0.93811	1.12743
0.95120	1.08345
0.98175	0.99516
1.02102	0.86417
1.04283	0.79280
1.07774	0.69613
1.09519	0.64232
1.12137	0.56789
1.15192	0.48234
1.17373	0.43513
1.22609	0.31188
1.26973	0.22762
1.28282	0.19314
1.30027	0.17042
1.30463	0.15560
1.31772	0.14239
1.31772	0.14271
1.31772	0.14046
1.31772	0.13498
1.33518	0.11838
1.33518	0.11887
1.34390	0.10743
1.41372	0.03654
1.46171	0.00013
1.49662	-0.00406
1.52280	-0.00889
1.57516	-0.00180
1.62316	0.02542
1.67115	0.06055
1.70170	0.11275
1.73660	0.16769
1.78460	0.24051
1.83696	0.34781
1.88932	0.47831
1.93732	0.60462
1.95477	0.67100
1.97659	0.72739
2.00277	0.80633
2.02895	0.89591
2.05513	0.99032
2.05949	0.99644
2.07694	1.06347
2.11621	1.19429
2.13367	1.25229
2.15548	1.34187
2.18166	1.43886
2.18166	1.44965
2.19911	1.51877
2.22529	1.61866
2.23838	1.66377
2.25584	1.72644
2.29511	1.86403
2.32129	1.97891
2.36492	2.13567
2.39983	2.28406
2.41728	2.36091
2.44782	2.47256
2.49582	2.64189
2.53945	2.80187
2.55691	2.87115
2.56563	2.90160
2.60054	3.02260
2.61363	3.07174
2.64417	3.15600
2.66599	3.22415
2.70962	3.34306
2.75762	3.47727
2.77944	3.52641
2.78816	3.55057
2.79253	3.55879
2.79253	3.55573
2.82743	3.62485
2.86670	3.70798
2.89725	3.74778
2.92343	3.79047
2.93652	3.80723
2.96270	3.83043
3.00197	3.86668
3.04996	3.88891
3.10669	3.89488
3.13287	3.88988
3.14596	3.88150
