Polarization of Light 'theta' Data File Mon, Nov 17, 2025 7:01 PM
Sensor Position (Radians)	Light Intensity (Volts)
0.00000	2.54844
0.00000	2.54506
0.00000	2.54329
0.00436	2.54764
0.01745	2.55070
0.02182	2.54603
0.02182	2.54409
0.03054	2.53942
0.04800	2.53346
0.06545	2.52621
0.08290	2.51864
0.10036	2.50800
0.11345	2.48722
0.12654	2.47691
0.13963	2.45790
0.14835	2.44469
0.16581	2.42664
0.17890	2.40457
0.19199	2.38105
0.20944	2.34931
0.22253	2.32192
0.23998	2.28389
0.26180	2.23814
0.27925	2.19158
0.29234	2.16467
0.29671	2.14679
0.30980	2.12149
0.31852	2.09330
0.33598	2.04835
0.35343	1.99631
0.37088	1.95232
0.38397	1.90045
0.40143	1.85050
0.41888	1.80636
0.43197	1.75528
0.44070	1.71903
0.45379	1.68294
0.46688	1.65072
0.47560	1.60932
0.48433	1.57951
0.49742	1.53810
0.50615	1.50024
0.52360	1.44546
0.54105	1.39649
0.55851	1.33107
0.56723	1.30626
0.57596	1.27565
0.59778	1.20911
0.61087	1.16013
0.63268	1.08876
0.65886	1.02061
0.68068	0.94263
0.70250	0.87432
0.71558	0.82550
0.73304	0.78700
0.75049	0.74398
0.76794	0.69130
0.78540	0.64490
0.79849	0.61090
0.81158	0.57353
0.82030	0.55661
0.83339	0.52551
0.84648	0.49700
0.85957	0.46316
0.87266	0.43916
0.88139	0.42063
0.89884	0.38003
0.91193	0.35635
0.92502	0.32300
0.93375	0.32074
0.93375	0.31816
0.93811	0.31365
0.95120	0.28949
0.95120	0.28417
0.95120	0.28755
0.95120	0.28095
0.95557	0.28030
0.97302	0.24985
0.98611	0.23551
0.98611	0.23439
0.99484	0.21763
1.00793	0.20780
1.03411	0.17832
1.06465	0.13530
1.09956	0.10195
1.14319	0.06715
1.17373	0.05168
1.18682	0.03976
1.20864	0.03026
1.23918	0.01350
1.25664	0.01511
1.27845	-0.00019
1.30463	-0.00293
1.32209	-0.00825
1.34390	-0.00180
1.35263	-0.00519
1.36572	-0.00599
1.38754	-0.01212
1.40499	-0.00873
1.42244	-0.01453
1.43990	-0.01002
1.46171	-0.01212
1.48789	-0.01067
1.52280	-0.01614
1.55334	-0.01195
1.57516	-0.00744
1.59698	-0.01469
1.61007	-0.01357
1.62316	-0.00841
1.65806	-0.01212
1.71479	-0.01195
1.74533	-0.00841
1.77151	-0.00889
1.80205	-0.00487
1.83696	-0.00406
1.86314	0.00077
1.88059	0.00206
1.90241	0.00770
1.91114	0.01398
1.91114	0.01108
1.94604	0.02607
1.97659	0.04427
1.98968	0.04927
1.98968	0.04605
1.98968	0.04766
1.98968	0.04943
1.98968	0.04685
1.98968	0.04685
1.98968	0.04588
1.98968	0.04202
1.98968	0.04411
2.01149	0.05926
2.03331	0.07360
2.06822	0.10872
2.10312	0.13482
2.13367	0.17477
2.14675	0.18976
2.16857	0.22005
2.19911	0.26580
2.22093	0.29738
2.25584	0.36118
2.30383	0.46123
2.33001	0.52390
2.35183	0.57240
2.36928	0.62202
2.39546	0.67696
2.41728	0.73786
2.45219	0.82470
2.50018	0.97598
2.53945	1.10342
2.54818	1.14515
2.56563	1.19252
2.58745	1.26824
2.60927	1.33462
2.62672	1.38537
2.64417	1.45980
2.67472	1.54568
2.70090	1.62849
2.72271	1.71307
2.74453	1.78638
2.79253	1.92655
2.80562	1.97166
2.80562	1.97246
2.80562	1.96409
2.80562	1.96989
2.80562	1.97649
2.84052	2.07284
2.90597	2.23073
2.96270	2.36493
2.97142	2.37992
2.97142	2.38137
2.99324	2.41955
3.02378	2.45790
3.06742	2.51090
3.11978	2.55038
3.17650	2.56117
