Polarization of Light 'Brewsters' Data File Wed, Nov 19, 2025 7:47 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.44609
180.00000	0.45785
180.00000	0.45334
180.00000	0.46929
180.00000	0.46880
179.98333	0.49668
179.96667	0.54227
179.96667	0.56708
179.96667	0.57498
179.96667	0.57353
179.96667	0.57256
179.96667	0.57836
179.96667	0.57562
179.96667	0.57949
179.96667	0.57755
179.96667	0.58094
179.96667	0.58142
179.96667	0.59205
179.98333	0.58223
179.98333	0.58835
179.98333	0.58045
179.98333	0.58351
179.98333	0.58464
179.98333	0.58239
179.98333	0.58593
179.98333	0.58400
179.98333	0.58029
179.96667	0.58931
179.96667	0.59366
179.96667	0.58432
179.95000	0.59189
179.95000	0.58432
179.95000	0.58432
179.93333	0.58432
179.93333	0.58174
179.88333	0.57949
179.78333	0.58174
179.73333	0.58496
179.68333	0.58223
179.65000	0.58335
179.61667	0.58158
179.60000	0.57707
179.58333	0.57884
179.56667	0.57675
179.51667	0.57739
179.45000	0.58061
179.38333	0.58110
179.35000	0.58464
179.30000	0.58303
179.21667	0.58915
179.08333	0.58384
178.96667	0.56450
178.88333	0.50538
178.83333	0.46671
178.78333	0.44399
178.73333	0.43271
178.71667	0.45720
178.70000	0.50183
178.66667	0.55033
178.65000	0.56660
178.61667	0.57336
178.58333	0.57256
178.53333	0.56885
178.48333	0.55339
178.41667	0.55016
178.36667	0.53840
178.30000	0.53921
178.25000	0.56450
178.15000	0.57949
178.01667	0.52326
177.95000	0.44270
177.91667	0.45253
177.90000	0.49378
177.86667	0.52052
177.83333	0.55629
177.78333	0.57562
177.73333	0.58448
177.65000	0.58964
177.58333	0.58464
177.55000	0.57884
177.53333	0.58239
177.51667	0.58206
177.50000	0.58368
177.46667	0.58400
177.43333	0.57481
177.36667	0.57288
177.31667	0.57481
177.23333	0.57143
177.15000	0.55999
177.08333	0.56225
177.00000	0.54823
176.88333	0.52809
176.78333	0.49168
176.70000	0.42128
176.61667	0.37842
176.56667	0.34378
176.53333	0.37069
176.53333	0.43271
176.51667	0.50811
176.51667	0.57063
176.51667	0.58770
176.51667	0.58609
176.51667	0.58770
176.51667	0.58335
176.51667	0.58448
176.51667	0.57884
176.51667	0.58206
176.51667	0.57659
176.50000	0.57900
176.50000	0.58754
176.50000	0.58770
176.50000	0.58915
176.50000	0.58368
176.50000	0.58964
176.50000	0.58980
176.48333	0.58835
176.48333	0.59302
176.48333	0.59012
176.48333	0.58883
176.46667	0.58545
176.46667	0.58658
176.43333	0.59334
176.36667	0.59028
176.33333	0.59366
176.28333	0.59093
176.26667	0.59093
176.23333	0.59366
176.20000	0.58948
176.16667	0.59834
176.15000	0.59012
176.11667	0.59689
176.06667	0.59060
176.00000	0.59624
175.96667	0.59141
175.91667	0.58722
175.88333	0.59221
175.86667	0.59205
175.83333	0.59656
175.78333	0.59109
175.75000	0.59544
175.70000	0.59656
175.65000	0.59479
175.56667	0.59415
175.50000	0.58803
175.45000	0.58867
175.43333	0.58931
175.41667	0.58674
175.41667	0.58641
175.40000	0.58513
175.40000	0.59447
175.40000	0.59818
175.38333	0.59560
175.36667	0.59834
175.36667	0.59495
175.33333	0.59383
175.30000	0.59383
175.26667	0.59189
175.23333	0.59463
175.21667	0.59705
175.20000	0.56998
175.16667	0.46397
175.13333	0.43626
175.11667	0.43126
175.08333	0.45221
175.05000	0.47815
174.98333	0.54114
174.88333	0.57353
174.76667	0.59608
174.70000	0.59705
174.66667	0.59157
174.65000	0.58722
174.63333	0.58625
174.61667	0.59689
174.58333	0.59721
174.55000	0.59447
174.46667	0.59785
174.38333	0.58641
174.33333	0.58013
174.30000	0.58722
174.30000	0.59205
174.28333	0.59930
174.23333	0.59479
174.15000	0.57562
174.03333	0.55548
173.96667	0.54227
173.93333	0.53373
173.88333	0.53389
173.85000	0.53824
173.81667	0.55226
173.80000	0.56048
173.78333	0.59689
173.78333	0.56982
173.76667	0.48056
173.75000	0.47718
173.73333	0.48943
173.71667	0.53115
173.68333	0.56434
173.61667	0.59125
173.55000	0.59882
173.48333	0.60349
173.43333	0.60526
173.41667	0.59818
173.40000	0.59334
173.38333	0.59173
173.36667	0.59334
173.36667	0.59689
173.35000	0.60349
173.30000	0.60285
173.23333	0.59689
173.15000	0.57546
173.03333	0.54807
172.96667	0.49281
172.95000	0.48540
172.93333	0.48105
172.93333	0.48894
172.93333	0.48363
172.91667	0.48620
172.90000	0.47058
172.88333	0.45382
172.85000	0.46413
172.81667	0.48556
172.80000	0.52423
172.78333	0.53373
172.78333	0.55983
172.78333	0.59769
172.78333	0.59431
172.78333	0.59479
172.78333	0.59399
172.76667	0.59511
172.76667	0.59656
172.78333	0.59914
172.78333	0.60043
172.80000	0.60398
172.81667	0.59818
172.81667	0.60575
172.81667	0.60027
172.81667	0.60639
172.81667	0.60253
172.81667	0.60671
172.81667	0.60091
172.81667	0.60188
172.83333	0.59399
172.83333	0.58738
172.83333	0.58899
172.83333	0.58561
172.83333	0.59495
172.83333	0.59995
172.83333	0.59366
172.81667	0.59898
172.81667	0.59576
172.81667	0.59366
172.80000	0.58931
172.80000	0.58674
