Polarization of Light 'Brewsters' Data File Wed, Nov 19, 2025 7:34 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.22069
180.00000	0.21264
180.00000	0.21554
180.00000	0.21328
180.00000	0.21054
180.00000	0.20812
180.01667	0.20716
180.01667	0.21119
180.01667	0.21151
180.01667	0.20345
180.01667	0.19427
180.01667	0.17816
180.01667	0.16688
180.01667	0.16334
180.00000	0.17332
179.96667	0.19121
179.88333	0.20619
179.75000	0.21006
179.66667	0.20410
179.65000	0.20087
179.63333	0.20764
179.63333	0.21215
179.58333	0.21215
179.53333	0.20925
179.45000	0.21392
179.40000	0.21135
179.36667	0.21102
179.33333	0.21183
179.30000	0.20716
179.28333	0.20539
179.26667	0.21086
179.25000	0.20667
179.23333	0.20522
179.20000	0.20458
179.15000	0.20539
179.11667	0.20458
179.06667	0.20651
179.05000	0.20426
179.00000	0.20957
178.93333	0.20635
178.88333	0.20587
178.80000	0.20764
178.66667	0.20184
178.55000	0.20297
178.50000	0.20136
178.43333	0.20345
178.40000	0.19556
178.33333	0.20877
178.26667	0.20764
178.18333	0.20120
178.08333	0.19942
178.01667	0.19717
177.98333	0.20635
177.95000	0.20216
177.91667	0.20120
177.90000	0.20603
177.88333	0.20232
177.85000	0.20265
177.81667	0.20265
177.78333	0.20394
177.75000	0.19685
177.71667	0.19588
177.68333	0.20313
177.63333	0.19652
177.56667	0.20200
177.50000	0.19878
177.46667	0.19797
177.43333	0.19749
177.38333	0.19846
177.31667	0.19991
177.21667	0.20281
177.13333	0.20200
177.10000	0.19507
177.06667	0.19572
177.03333	0.19652
176.95000	0.19846
176.85000	0.19298
176.73333	0.19975
176.63333	0.20281
176.56667	0.19669
176.53333	0.19250
176.50000	0.20023
176.48333	0.19669
176.48333	0.19991
176.46667	0.19942
176.46667	0.19765
176.45000	0.19572
176.41667	0.20377
176.36667	0.20281
176.31667	0.19942
176.28333	0.19926
176.26667	0.20184
176.26667	0.20055
176.26667	0.19781
176.26667	0.19701
176.25000	0.20184
176.23333	0.20168
176.21667	0.20667
176.20000	0.19636
176.15000	0.20281
176.06667	0.20055
176.00000	0.19427
175.91667	0.17510
175.86667	0.15899
175.83333	0.15512
175.81667	0.14851
175.78333	0.15383
175.75000	0.15319
175.68333	0.16801
175.63333	0.18041
175.55000	0.18380
175.50000	0.19540
175.46667	0.20104
175.43333	0.19669
175.38333	0.19959
175.33333	0.19942
175.25000	0.19652
175.18333	0.19524
175.10000	0.19604
175.05000	0.20329
175.00000	0.20055
174.96667	0.19395
174.91667	0.20200
174.85000	0.19572
174.78333	0.19185
174.68333	0.19765
174.60000	0.19491
174.48333	0.19137
174.38333	0.19040
174.26667	0.17349
174.23333	0.17961
174.21667	0.17687
174.20000	0.18041
174.18333	0.19362
174.16667	0.19669
174.10000	0.19169
173.95000	0.19507
173.88333	0.19395
173.85000	0.19298
173.83333	0.19572
173.80000	0.19411
173.76667	0.19443
173.73333	0.19524
173.63333	0.20023
173.56667	0.19362
173.50000	0.19282
173.45000	0.19427
173.38333	0.19089
173.31667	0.18766
173.25000	0.19346
173.20000	0.18992
173.16667	0.19411
173.10000	0.18847
173.00000	0.18557
172.90000	0.17800
172.81667	0.16350
172.73333	0.15544
172.68333	0.16430
172.65000	0.16060
172.63333	0.17735
172.63333	0.19008
172.63333	0.19362
172.63333	0.18589
172.61667	0.19008
172.61667	0.19491
172.58333	0.19572
172.56667	0.18815
172.56667	0.19234
172.56667	0.18186
172.56667	0.18364
172.55000	0.18525
172.55000	0.18138
172.55000	0.18879
172.51667	0.19443
172.43333	0.19105
172.31667	0.19475
172.23333	0.17316
172.15000	0.14465
172.06667	0.12918
172.01667	0.12290
171.96667	0.11581
171.91667	0.12048
171.88333	0.11629
171.86667	0.11275
171.86667	0.12644
171.83333	0.16044
171.80000	0.18251
171.68333	0.18944
171.56667	0.19266
171.46667	0.19314
171.35000	0.19089
171.23333	0.19298
171.15000	0.18380
171.06667	0.17542
171.03333	0.04443
171.00000	-0.00261
170.96667	0.18766
170.95000	0.02832
170.95000	-0.00068
170.93333	-0.00052
170.93333	0.16607
170.91667	0.18444
170.91667	0.18895
170.91667	0.18927
170.91667	0.19362
170.91667	0.18702
170.91667	0.18509
170.91667	0.18847
170.90000	0.18799
170.88333	0.19346
170.85000	0.18944
170.80000	0.19137
170.71667	0.19201
170.58333	0.18396
170.43333	0.19072
170.33333	0.18895
170.23333	0.18654
170.15000	0.19201
170.08333	0.18589
170.00000	0.18444
169.95000	0.18782
169.90000	0.18364
169.86667	0.19056
169.81667	0.18944
169.78333	0.19024
169.73333	0.18944
169.68333	0.18396
169.63333	0.18041
169.58333	0.17993
169.56667	0.18170
169.55000	0.18138
169.53333	0.18009
169.51667	0.18090
169.51667	0.18444
169.51667	0.18444
169.51667	0.18283
169.51667	0.18911
169.51667	0.18380
169.51667	0.18396
169.51667	0.18347
169.51667	0.18621
169.51667	0.17767
169.51667	0.17929
169.50000	0.18202
169.50000	0.18444
169.50000	0.18492
169.48333	0.18960
169.46667	0.17042
169.46667	0.18219
169.46667	0.18799
169.45000	0.16527
169.45000	0.12080
169.43333	0.00593
169.43333	0.00899
169.45000	0.00158
169.45000	-0.00229
169.45000	0.21054
169.45000	-0.00277
169.46667	0.24663
169.46667	0.18009
169.46667	-0.00100
169.46667	-0.00068
169.46667	0.18396
169.48333	0.19556
169.48333	0.18573
169.48333	0.17929
169.50000	0.19572
169.50000	0.19282
169.50000	0.19395
169.50000	0.19572
169.50000	0.19250
169.50000	0.17961
169.50000	0.16366
169.50000	0.17719
169.50000	0.18944
169.50000	0.19395
169.50000	0.18364
169.50000	0.18412
169.50000	0.18412
169.50000	0.17639
169.48333	0.18267
169.45000	0.18219
169.28333	0.18734
169.11667	0.18734
169.00000	0.18944
168.95000	0.18831
168.93333	0.18863
168.91667	0.17429
168.88333	0.16720
168.86667	0.16237
168.78333	0.16479
168.63333	0.17349
168.45000	0.18541
168.30000	0.18879
168.20000	0.18895
168.11667	0.18283
168.03333	0.18428
167.93333	0.19201
167.85000	0.18702
167.81667	0.18799
167.78333	0.18976
167.75000	0.17961
167.70000	0.17945
167.65000	0.18074
167.63333	0.18154
167.61667	0.19024
167.58333	0.18815
167.53333	0.18847
167.45000	0.18025
167.40000	0.18847
167.31667	0.18444
167.23333	0.17864
167.15000	0.16833
167.10000	0.17461
167.03333	0.18686
166.96667	0.18702
166.88333	0.18621
166.76667	0.17961
166.65000	0.18444
166.55000	0.17735
166.41667	0.17622
166.30000	0.16495
166.21667	0.16656
166.18333	0.17252
166.16667	0.17977
166.15000	0.17848
166.11667	0.17800
166.10000	0.18380
166.08333	0.18219
166.05000	0.17848
166.01667	0.17961
166.00000	0.17816
165.98333	0.18428
165.96667	0.18364
165.96667	0.18396
165.96667	0.17719
165.96667	0.17816
165.96667	0.17590
165.96667	0.16656
165.96667	0.16253
165.96667	0.16253
165.96667	0.15560
165.95000	0.16462
165.95000	0.16350
165.95000	0.16366
165.95000	0.16172
165.93333	0.15689
165.86667	0.16092
165.80000	0.15786
165.76667	0.16044
165.75000	0.15721
165.71667	0.15512
165.66667	0.16736
165.61667	0.17735
165.56667	0.18186
165.53333	0.17912
165.51667	0.18380
165.51667	0.18380
165.50000	0.17542
165.50000	0.18428
165.50000	0.17429
165.50000	0.18202
165.48333	0.17784
165.48333	0.17896
165.48333	0.18122
165.46667	0.18492
165.46667	0.17767
165.46667	0.17687
165.46667	0.15609
165.46667	0.15012
165.46667	0.15850
165.46667	0.15995
165.46667	0.16382
165.46667	0.16640
165.46667	0.16962
165.46667	0.16672
165.46667	0.15721
165.46667	0.16382
165.48333	0.18090
165.48333	0.17171
165.48333	0.17461
165.48333	0.17236
165.48333	0.16527
165.48333	0.16785
165.48333	0.17574
165.48333	0.16688
165.48333	0.17413
165.48333	0.16785
165.48333	0.13707
165.48333	0.11855
165.48333	0.10775
165.48333	0.11677
165.48333	0.15947
165.48333	0.16269
165.48333	0.16044
165.48333	0.17896
165.50000	0.17735
165.50000	0.18315
165.50000	0.17896
165.50000	0.17155
165.50000	0.17993
165.48333	0.18057
165.48333	0.18106
165.48333	0.18090
165.48333	0.18009
165.48333	0.18074
165.48333	0.17719
165.46667	0.18654
165.43333	0.18170
165.35000	0.17542
165.23333	0.15157
165.08333	0.11710
165.03333	0.12886
165.03333	0.14738
165.01667	0.15882
164.98333	0.15576
164.91667	0.15979
164.83333	0.16881
164.76667	0.17091
164.68333	0.16769
164.60000	0.16430
164.53333	0.16301
164.48333	0.16785
164.43333	0.16446
164.38333	0.16156
164.30000	0.16124
164.21667	0.15029
164.10000	0.15351
163.96667	0.14996
163.86667	0.13305
163.81667	0.13546
163.78333	0.15302
163.76667	0.17671
163.73333	0.17622
163.68333	0.17784
163.65000	0.17655
163.60000	0.18170
163.55000	0.17558
163.51667	0.17494
163.50000	0.17445
163.46667	0.17558
163.45000	0.17204
163.43333	0.17042
163.36667	0.17220
163.30000	0.17252
163.21667	0.17059
163.13333	0.16688
163.06667	0.16720
163.00000	0.16704
162.93333	0.16930
162.85000	0.16285
162.80000	0.16640
162.75000	0.15979
162.71667	0.15882
162.70000	0.15029
162.68333	0.15786
162.65000	0.14658
162.58333	0.14368
162.40000	0.12386
162.20000	0.10662
162.11667	0.09760
162.10000	0.10292
162.10000	0.11420
162.10000	0.14062
162.10000	0.15882
162.10000	0.16720
162.10000	0.16414
162.10000	0.16833
162.10000	0.17139
162.10000	0.16881
162.10000	0.17349
162.08333	0.17026
162.06667	0.17751
162.03333	0.17026
161.95000	0.17042
161.88333	0.16704
161.81667	0.16253
161.75000	0.16495
161.66667	0.15963
161.65000	0.16221
161.61667	0.15544
161.58333	0.15818
161.56667	0.15141
161.56667	0.15109
161.56667	0.16350
161.55000	0.16430
161.55000	0.17268
161.55000	0.16285
161.55000	0.16317
161.51667	0.16962
161.45000	0.16511
161.35000	0.17751
161.30000	0.16575
161.26667	0.17187
161.26667	0.17622
161.25000	0.17075
161.23333	0.16849
161.21667	0.17155
161.21667	0.17155
161.21667	0.17332
161.20000	0.17155
161.20000	0.17687
161.20000	0.17574
161.20000	0.17397
161.20000	0.17848
161.18333	0.17204
161.16667	0.17912
161.08333	0.17445
161.00000	0.18186
160.91667	0.17413
160.88333	0.16865
160.85000	0.17671
160.80000	0.17558
160.75000	0.18267
160.66667	0.17558
160.51667	0.16495
160.43333	0.15367
160.38333	0.15302
160.36667	0.15496
160.35000	0.16092
160.33333	0.16237
160.33333	0.17075
160.31667	0.17042
160.31667	0.17397
160.31667	0.17204
160.31667	0.16736
160.30000	0.17365
160.30000	0.16624
160.30000	0.17091
160.30000	0.17558
160.30000	0.17461
160.28333	0.17059
160.25000	0.17042
160.23333	0.16962
160.23333	0.16656
160.21667	0.17155
160.21667	0.16946
160.20000	0.16607
160.18333	0.17429
160.16667	0.16978
160.13333	0.17445
160.11667	0.17365
160.06667	0.16994
160.03333	0.17075
160.00000	0.17429
159.96667	0.17687
159.93333	0.16607
159.85000	0.16607
159.73333	0.17349
159.61667	0.16688
159.53333	0.17155
159.46667	0.17220
159.40000	0.16720
159.33333	0.16672
159.28333	0.17171
159.25000	0.17059
159.23333	0.16994
159.23333	0.16462
159.23333	0.16495
159.21667	0.16946
159.20000	0.16656
159.20000	0.16607
159.18333	0.16720
159.18333	0.16914
159.18333	0.16833
159.16667	0.17445
159.16667	0.17042
159.16667	0.16430
159.16667	0.17252
159.16667	0.16914
159.16667	0.16865
159.16667	0.16607
159.16667	0.15480
159.16667	0.15286
159.16667	0.16382
159.16667	0.17026
159.16667	0.16914
159.16667	0.17381
159.16667	0.16833
159.16667	0.16495
159.16667	0.16817
159.16667	0.16736
159.16667	0.17075
159.16667	0.16785
159.16667	0.17075
159.16667	0.14819
159.16667	0.04830
159.16667	0.01914
159.16667	-0.00325
159.16667	-0.00132
159.16667	0.11258
159.16667	-0.00277
159.16667	0.01882
159.16667	-0.00197
159.16667	0.00093
159.16667	0.11468
159.16667	-0.00438
159.16667	0.02542
159.16667	0.16414
159.16667	-0.00084
159.16667	-0.00068
159.16667	0.02510
159.18333	-0.00712
159.18333	0.04460
159.18333	0.15190
159.18333	-0.00068
159.18333	-0.00084
159.18333	0.16011
159.18333	0.16543
159.18333	0.16994
159.18333	0.14916
159.18333	0.15866
159.18333	0.16946
159.18333	0.16140
159.18333	0.15866
159.18333	0.15963
159.18333	0.16334
159.20000	0.16430
159.20000	0.15899
159.20000	0.16334
159.20000	0.15302
159.20000	0.15464
159.20000	0.16769
159.20000	0.16092
159.20000	0.16495
159.18333	0.17445
159.18333	0.17010
159.18333	0.17026
159.18333	0.16833
159.18333	0.17429
159.18333	0.17123
159.18333	0.17429
159.18333	0.16817
159.18333	0.16656
159.18333	0.16559
159.18333	0.17316
159.13333	0.17445
158.86667	0.16720
158.65000	0.16479
158.60000	0.16527
158.58333	0.16946
158.58333	0.16769
158.58333	0.16785
158.56667	0.16672
158.48333	0.16543
158.36667	0.15979
158.25000	0.16591
158.13333	0.16736
158.01667	0.15882
157.86667	0.15077
157.73333	0.13256
157.68333	0.13433
157.63333	0.14030
157.58333	0.13643
157.55000	0.14271
157.50000	0.15061
157.45000	0.15609
157.38333	0.16237
157.25000	0.15882
157.11667	0.15286
157.00000	0.15818
156.95000	0.15609
156.90000	0.14787
156.83333	0.14867
156.78333	0.14320
156.76667	0.15480
