Polarization of Light 'Brewsters' Data File Wed, Nov 19, 2025 7:41 PM
Sensor Position (Degrees)	Light Intensity (Volts)
180.00000	0.22150
180.00000	0.22021
180.00000	0.21554
180.01667	0.21650
180.01667	0.21892
180.00000	0.21521
180.00000	0.22279
180.00000	0.21795
180.00000	0.21360
180.00000	0.21344
180.00000	0.21618
180.00000	0.22069
180.00000	0.21634
180.00000	0.20845
180.00000	0.21199
180.00000	0.21247
179.98333	0.22101
179.96667	0.21328
179.95000	0.22295
179.93333	0.21618
179.93333	0.21521
179.93333	0.21183
179.91667	0.20603
179.90000	0.20716
179.90000	0.20909
179.90000	0.20329
179.90000	0.20700
179.90000	0.21199
179.88333	0.22246
179.88333	0.19910
179.88333	0.20925
179.90000	0.21344
179.90000	0.22069
179.91667	0.21731
179.93333	0.21151
179.95000	0.21924
179.95000	0.21989
179.95000	0.21296
179.95000	0.21409
179.96667	0.21747
179.96667	0.21972
179.96667	0.21715
179.96667	0.21586
179.96667	0.21892
179.96667	0.21827
179.93333	0.21876
179.86667	0.21763
179.78333	0.21731
179.75000	0.21682
179.71667	0.21586
179.68333	0.21989
179.65000	0.21473
179.61667	0.21376
179.58333	0.21876
179.53333	0.21457
179.45000	0.20474
179.35000	0.20716
179.26667	0.20249
179.15000	0.15866
179.10000	0.13192
179.06667	0.13450
179.05000	0.14819
179.01667	0.15254
178.96667	0.15109
178.81667	0.14255
178.63333	0.11887
178.46667	0.09293
178.36667	0.08568
178.31667	0.12290
178.30000	0.16769
178.28333	0.19701
178.26667	0.19201
178.25000	0.20474
178.23333	0.20377
178.23333	0.21038
178.23333	0.21409
178.23333	0.21344
178.21667	0.21956
178.21667	0.22279
178.20000	0.22069
178.16667	0.21956
178.11667	0.22117
178.05000	0.21570
178.00000	0.21167
177.96667	0.21699
177.93333	0.21022
177.86667	0.20990
177.80000	0.21344
177.75000	0.22246
177.70000	0.22117
177.65000	0.21634
177.60000	0.21215
177.55000	0.21586
177.48333	0.21682
177.43333	0.22117
177.33333	0.21972
177.26667	0.21618
177.20000	0.22311
177.16667	0.22246
177.15000	0.22117
177.13333	0.22246
177.13333	0.22198
177.10000	0.21811
177.03333	0.22343
176.95000	0.21602
176.88333	0.21425
176.81667	0.20974
176.71667	0.20780
176.65000	0.20458
176.60000	0.20587
176.58333	0.21199
176.58333	0.21618
176.56667	0.22246
176.56667	0.22150
176.56667	0.22391
176.56667	0.22714
176.56667	0.22295
176.56667	0.22939
176.53333	0.22424
176.46667	0.21570
176.40000	0.22327
176.31667	0.21634
176.26667	0.20893
176.25000	0.20587
176.23333	0.21006
176.21667	0.21264
176.18333	0.20619
176.05000	0.19572
175.80000	0.16720
175.63333	0.15576
175.58333	0.18476
175.58333	0.22069
175.58333	0.21908
175.58333	0.22778
175.56667	0.22101
175.53333	0.20893
175.43333	0.21102
175.33333	0.21811
175.21667	0.22746
175.10000	0.22697
174.96667	0.23406
174.80000	0.21940
174.70000	0.21296
174.65000	0.21699
174.61667	0.21827
174.56667	0.22407
174.50000	0.23487
174.46667	0.23519
174.41667	0.22504
174.38333	0.23213
174.35000	0.23294
174.31667	0.22971
174.28333	0.22617
174.25000	0.22923
174.23333	0.23390
174.23333	0.23132
174.21667	0.22730
174.21667	0.23277
174.20000	0.23471
174.18333	0.22730
174.16667	0.22617
174.15000	0.23358
174.11667	0.22971
174.11667	0.23084
174.10000	0.23342
174.10000	0.22327
174.08333	0.22730
174.08333	0.22939
174.08333	0.22069
174.06667	0.22665
174.01667	0.21715
173.93333	0.22166
173.85000	0.22021
173.78333	0.21570
173.73333	0.21908
173.65000	0.22907
173.58333	0.23294
173.48333	0.23084
173.38333	0.21682
173.25000	0.21972
173.18333	0.21473
173.18333	0.21199
173.16667	0.21344
173.15000	0.22552
173.15000	0.21666
173.13333	0.21682
173.13333	0.22472
173.13333	0.22826
173.13333	0.22279
173.13333	0.23374
173.13333	0.23358
173.13333	0.22681
173.13333	0.21376
173.13333	0.21409
173.11667	0.20039
173.11667	0.14964
173.11667	0.18525
173.13333	0.20716
173.13333	0.21827
173.13333	0.22488
173.11667	0.20667
173.11667	0.21409
173.13333	0.22182
173.13333	0.22005
173.13333	0.22085
173.13333	0.23181
173.13333	0.23294
173.13333	0.22907
173.13333	0.23390
173.13333	0.23052
173.13333	0.22762
173.13333	0.22375
173.13333	0.22101
